Package Name,Price,Inclusions (semicolon-separated),Badge
Silver - The Essentials,"₹15,000",HD bridal makeup — day of; Signature hair styling; Draping assistance; Pre-bridal consultation; Touch-up kit for 4 hours,Most Affordable
Gold - Most Sought After,"₹32,000",HDLV airbrush bridal look; Hair up-do + textured braid; Pre-bridal 15-day glow protocol; Bridal trial session; Full-day touch-ups on site; Drape + dupatta pinning; Sangeet look — add-on pricing,Most Popular
Deluxe - The Editorial,"₹58,000",Everything in Gold; 3-event styling (sangeet · haldi · reception); 30-day bridal skin ritual; Lehenga rental — 1 piece included; Dedicated on-site artist + assistant; Pre-shoot editorial session; Family makeup — 2 members,Couture
